model_id,chunk_tokens,sequence_length,phase,mode,family,chunk_index,token_index,layer_index,atom_index,trace_interval_index,start_time_ms,end_time_ms,duration_ms
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,2,2,12,106695362.3679789,106695362.5164589,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,2,3,12,106695362.5164589,106695362.6649389,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,2,4,12,106695362.6649389,106695362.8134189,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,2,5,12,106695362.8134189,106695362.9618989,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,3,0,12,106695362.9618989,106695363.11037889,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,3,1,12,106695363.11037889,106695363.25885889,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,3,2,12,106695363.25885889,106695363.40733889,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,3,3,12,106695363.40733889,106695363.55581889,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,3,4,12,106695363.55581889,106695363.70429888,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,3,5,12,106695363.70429888,106695363.85277888,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,4,0,12,106695363.85277888,106695364.00125888,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,4,1,12,106695364.00125888,106695364.14973888,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,4,2,12,106695364.14973888,106695364.29821888,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,4,3,12,106695364.29821888,106695364.44669887,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,4,4,12,106695364.44669887,106695364.59517887,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,4,5,12,106695364.59517887,106695364.74365887,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,5,0,12,106695364.74365887,106695364.89213887,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,5,1,13,106695364.995958,106695365.144438,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,5,2,13,106695365.144438,106695365.292918,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,5,3,13,106695365.292918,106695365.441398,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,5,4,13,106695365.441398,106695365.589878,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,5,5,13,106695365.589878,106695365.73835799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,6,0,13,106695365.73835799,106695365.88683799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,6,1,13,106695365.88683799,106695366.03531799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,6,2,13,106695366.03531799,106695366.18379799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,6,3,13,106695366.18379799,106695366.33227798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,6,4,13,106695366.33227798,106695366.48075798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,6,5,13,106695366.48075798,106695366.62923798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,7,0,13,106695366.62923798,106695366.77771798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,7,1,13,106695366.77771798,106695366.92619798,0.14847999811172485
